team_id,team_name,plate_appearances,team_ops,team_obp,team_slg,team_woba,k_pct,bb_pct
108,Los Angeles Angels,5282,0.677,0.308,0.369,0.383,0.253,0.082
109,Arizona Diamondbacks,5347,0.708,0.314,0.394,0.403,0.194,0.088
110,Baltimore Orioles,5366,0.711,0.316,0.395,0.4,0.243,0.098
111,Boston Red Sox,5389,0.73,0.323,0.407,0.416,0.213,0.084
112,Chicago Cubs,5608,0.77,0.339,0.431,0.433,0.214,0.107
113,Cincinnati Reds,5294,0.704,0.308,0.396,0.396,0.253,0.095
114,Cleveland Guardians,5356,0.686,0.314,0.372,0.388,0.213,0.095
115,Colorado Rockies,5382,0.741,0.324,0.417,0.424,0.227,0.084
116,Detroit Tigers,5355,0.71,0.314,0.396,0.402,0.227,0.091
117,Houston Astros,5356,0.723,0.315,0.408,0.41,0.216,0.088
118,Kansas City Royals,5327,0.719,0.316,0.403,0.412,0.208,0.084
119,Los Angeles Dodgers,5402,0.756,0.336,0.42,0.429,0.205,0.099
120,Washington Nationals,5497,0.754,0.325,0.429,0.428,0.216,0.091
121,New York Mets,5285,0.697,0.306,0.391,0.397,0.226,0.085
133,Athletics,5409,0.727,0.321,0.406,0.414,0.225,0.087
134,Pittsburgh Pirates,5519,0.733,0.331,0.402,0.417,0.244,0.092
135,San Diego Padres,5252,0.7,0.314,0.386,0.396,0.218,0.093
136,Seattle Mariners,5318,0.687,0.311,0.376,0.386,0.233,0.091
137,San Francisco Giants,5328,0.715,0.309,0.406,0.412,0.213,0.074
138,St. Louis Cardinals,5392,0.701,0.316,0.385,0.399,0.207,0.084
139,Tampa Bay Rays,5323,0.731,0.328,0.403,0.42,0.185,0.084
140,Texas Rangers,5302,0.717,0.318,0.399,0.407,0.226,0.088
141,Toronto Blue Jays,5307,0.691,0.309,0.382,0.398,0.193,0.075
142,Minnesota Twins,5347,0.728,0.32,0.408,0.414,0.209,0.085
143,Philadelphia Phillies,5297,0.713,0.313,0.4,0.406,0.221,0.085
144,Atlanta Braves,5280,0.725,0.312,0.413,0.417,0.217,0.078
145,Chicago White Sox,5375,0.723,0.318,0.405,0.407,0.238,0.094
146,Miami Marlins,5345,0.723,0.325,0.398,0.41,0.218,0.091
147,New York Yankees,5250,0.719,0.311,0.408,0.405,0.248,0.096
158,Milwaukee Brewers,5522,0.739,0.339,0.4,0.419,0.215,0.106
