game_pk,team_id,team_name,batting_order,batter_id,batter_name,stand,opp_pitcher_hand,xwoba_vs_hand,k_pct_vs_hand,bb_pct_vs_hand,whiff_pct_vs_hand
823577,137,San Francisco Giants,1,668800,Andrew Knizner,R,R,0.2772,0.176,0.059,0.236
823577,137,San Francisco Giants,2,805811,Bryce Eldridge,L,R,0.4408,0.255,0.151,0.309
823577,137,San Francisco Giants,3,683766,Christian Koss,R,R,0.342,0.293,0.04,0.285
823577,137,San Francisco Giants,4,701852,Drew Cavanaugh,L,R,0.4792,0.328,0.078,0.32
823577,137,San Francisco Giants,5,687551,Drew Gilbert,L,R,0.4414,0.216,0.114,0.238
823577,137,San Francisco Giants,6,687529,Grant McCray,L,R,0.4685,0.333,0.037,0.333
823577,137,San Francisco Giants,7,813841,Jonah Cox,R,R,0.4171,0.358,0.094,0.306
823577,137,San Francisco Giants,8,808982,Jung Hoo Lee,L,R,0.3185,0.107,0.087,0.116
823577,137,San Francisco Giants,9,801501,Nate Furman,L,R,0.2312,0.25,0.036,0.163
823577,121,New York Mets,1,805999,A.J. Ewing,L,R,0.3486,0.29,0.093,0.246
823577,121,New York Mets,2,666182,Bo Bichette,R,R,0.3739,0.152,0.105,0.203
823577,121,New York Mets,3,683146,Brett Baty,L,R,0.4037,0.315,0.093,0.358
823577,121,New York Mets,4,701807,Carson Benge,L,R,0.3859,0.19,0.057,0.213
823577,121,New York Mets,5,666624,Christopher Morel,R,R,0.1632,0.211,0.105,0.3
823577,121,New York Mets,6,665506,Cristian Pache,R,R,0.2745,0.5,0.0,0.3
823577,121,New York Mets,7,682626,Francisco Alvarez,R,R,0.4372,0.403,0.091,0.411
823577,121,New York Mets,8,596019,Francisco Lindor,L,R,0.3648,0.191,0.104,0.237
823577,121,New York Mets,9,676724,Jared Young,L,R,0.2994,0.191,0.032,0.258
823823,112,Chicago Cubs,1,608324,Alex Bregman,R,R,0.3738,0.122,0.089,0.139
823823,112,Chicago Cubs,2,681230,BJ Murray Jr.,L,R,0.1333,0.4,0.0,0.182
823823,112,Chicago Cubs,3,608348,Carson Kelly,R,R,0.2859,0.164,0.068,0.185
823823,112,Chicago Cubs,4,672356,Gabriel Arias,R,R,0.393,0.25,0.083,0.375
823823,112,Chicago Cubs,5,664023,Ian Happ,L,R,0.3819,0.283,0.081,0.297
823823,112,Chicago Cubs,6,807713,Matt Shaw,R,R,0.2839,0.056,0.167,0.125
823823,112,Chicago Cubs,7,683737,Michael Busch,L,R,0.3413,0.265,0.103,0.303
823823,112,Chicago Cubs,8,624424,Michael Conforto,L,R,0.4132,0.237,0.102,0.231
823823,112,Chicago Cubs,9,665804,Miguel Amaya,R,R,0.3662,0.333,0.128,0.348
823823,146,Miami Marlins,1,682663,Agustín Ramírez,R,R,0.2914,0.236,0.139,0.25
823823,146,Miami Marlins,2,640459,Brian Navarreto,R,R,0.2076,0.382,0.029,0.346
823823,146,Miami Marlins,3,691277,Deyvison De Los Santos,R,R,0.2875,0.0,0.0,0.375
823823,146,Miami Marlins,4,665923,Esteury Ruiz,R,R,0.2656,0.393,0.098,0.351
823823,146,Miami Marlins,5,688363,Graham Pauley,L,R,0.3593,0.176,0.0,0.189
823823,146,Miami Marlins,6,665052,Griffin Conine,L,R,0.4477,0.316,0.137,0.401
823823,146,Miami Marlins,7,681715,Heriberto Hernández,R,R,0.474,0.304,0.125,0.343
823823,146,Miami Marlins,8,805300,Jakob Marsee,L,R,0.3063,0.17,0.13,0.189
823823,146,Miami Marlins,9,691858,Jared Serna,R,R,0.2127,0.0,0.143,0.167
