pitcher_id,pitcher_name,team,rolling_ip,era,pitches_tracked,xwoba,xba,hard_hit_pct,barrel_pct,groundballs_pct,whiff_pct,csw_pct,primary_pitch_type,pitch_mix_usage,tto1_k_pct,tto1_xwoba
805673,Zebby Matthews,Minnesota Twins,119.1,4.98,1905.6,0.31,0.245,0.36,0.065,0.43,0.25,0.213,FF,"{""FF"": 0.50}",0.198,0.305
672456,Keider Montero,Detroit Tigers,147.0,3.55,2352.0,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.165,0.305
680755,Braydon Fisher,Toronto Blue Jays,71.1,3.15,1137.6,0.31,0.245,0.36,0.065,0.43,0.25,0.242,FF,"{""FF"": 0.50}",0.239,0.305
669620,Brady Basso,Athletics,37.1,3.86,593.6,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.173,0.305
669467,Andre Pallante,St. Louis Cardinals,146.0,3.45,2336.0,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.169,0.305
694918,Blade Tidwell,San Francisco Giants,46.2,4.82,739.2,0.31,0.245,0.36,0.065,0.43,0.25,0.209,FF,"{""FF"": 0.50}",0.193,0.305
800600,Jackson Kent,Washington Nationals,27.1,6.59,433.6,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.178,0.305
621111,Walker Buehler,San Diego Padres,138.2,4.61,2211.2,0.31,0.245,0.36,0.065,0.43,0.25,0.218,FF,"{""FF"": 0.50}",0.206,0.305
674003,Cody Bradford,Texas Rangers,34.1,4.72,545.6,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.112,0.305
807739,Kade Anderson,Seattle Mariners,21.0,4.29,336.0,0.31,0.245,0.36,0.065,0.43,0.25,0.203,FF,"{""FF"": 0.50}",0.184,0.305
656492,Foster Griffin,Cleveland Guardians,161.0,3.24,2576.0,0.31,0.245,0.36,0.065,0.43,0.25,0.226,FF,"{""FF"": 0.50}",0.217,0.305
669358,Shane Baz,Baltimore Orioles,164.1,4.0,2625.6,0.31,0.245,0.36,0.065,0.43,0.25,0.219,FF,"{""FF"": 0.50}",0.207,0.305
686613,Hunter Brown,Houston Astros,87.1,3.3,1393.6,0.31,0.245,0.36,0.065,0.43,0.25,0.255,FF,"{""FF"": 0.50}",0.257,0.305
650911,Cristopher Sánchez,Philadelphia Phillies,182.1,2.57,2913.6,0.31,0.245,0.36,0.065,0.43,0.25,0.268,FF,"{""FF"": 0.50}",0.275,0.305
476594,Robert Stock,New York Mets,26.2,5.74,419.2,0.31,0.245,0.36,0.065,0.43,0.25,0.211,FF,"{""FF"": 0.50}",0.195,0.305
676083,Janson Junk,Miami Marlins,109.0,3.96,1744.0,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.162,0.305
696270,Ryan Johnson,Los Angeles Angels,78.1,5.17,1249.6,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.171,0.305
687562,Jake Bennett,Boston Red Sox,100.1,3.32,1601.6,0.31,0.245,0.36,0.065,0.43,0.25,0.217,FF,"{""FF"": 0.50}",0.204,0.305
608372,Tomoyuki Sugano,Colorado Rockies,131.2,5.19,2099.2,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.14,0.305
701542,Will Warren,New York Yankees,136.1,4.16,2177.6,0.31,0.245,0.36,0.065,0.43,0.25,0.231,FF,"{""FF"": 0.50}",0.224,0.305
643377,Griffin Jax,Tampa Bay Rays,94.1,3.82,1505.6,0.31,0.245,0.36,0.065,0.43,0.25,0.254,FF,"{""FF"": 0.50}",0.255,0.305
625643,Reynaldo López,Atlanta Braves,71.2,3.64,1139.2,0.31,0.245,0.36,0.065,0.43,0.25,0.225,FF,"{""FF"": 0.50}",0.216,0.305
668678,Zac Gallen,Arizona Diamondbacks,98.0,6.34,1568.0,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.139,0.305
663738,Daniel Lynch IV,Kansas City Royals,66.2,3.51,1059.2,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.168,0.305
669199,Lake Bachar,Pittsburgh Pirates,77.2,3.59,1235.2,0.31,0.245,0.36,0.065,0.43,0.25,0.252,FF,"{""FF"": 0.50}",0.252,0.305
663436,Davis Martin,Chicago White Sox,130.2,4.13,2083.2,0.31,0.245,0.36,0.065,0.43,0.25,0.219,FF,"{""FF"": 0.50}",0.206,0.305
592332,Kevin Gausman,Chicago Cubs,162.1,4.38,2593.6,0.31,0.245,0.36,0.065,0.43,0.25,0.244,FF,"{""FF"": 0.50}",0.242,0.305
701656,Logan Henderson,Milwaukee Brewers,83.1,2.48,1329.6,0.31,0.245,0.36,0.065,0.43,0.25,0.286,FF,"{""FF"": 0.50}",0.3,0.305
695076,Rhett Lowder,Cincinnati Reds,116.0,5.43,1856.0,0.31,0.245,0.36,0.065,0.43,0.25,0.2,FF,"{""FF"": 0.50}",0.172,0.305
808967,Yoshinobu Yamamoto,Los Angeles Dodgers,165.0,2.67,2640.0,0.31,0.245,0.36,0.065,0.43,0.25,0.253,FF,"{""FF"": 0.50}",0.254,0.305
