Pitcher,Matchup,Opp Whiff %,Line,Proj Ks,Over Prob,Edge Target
Yoshinobu Yamamoto,LAD @ CIN,25.5%,6.5,8.53,74.7%,STRONG OVER
Rhett Lowder,LAD @ CIN,20.0%,4.5,4.52,47.2%,PASS
Shane Baz,BAL @ NYM,22.0%,5.5,6.06,56.4%,LEAN OVER
Sean Manaea,BAL @ NYM,23.5%,5.5,6.49,63.0%,LEAN OVER
Max Fried,NYY @ MIN,23.8%,5.5,6.91,68.8%,STRONG OVER
Bailey Ober,NYY @ MIN,22.8%,5.5,6.69,65.8%,STRONG OVER
Cristopher Sánchez,PHI @ WSH,23.0%,5.5,6.13,57.5%,LEAN OVER
Jackson Kent,PHI @ WSH,20.5%,4.5,4.07,38.5%,PASS
Logan Gilbert,SEA @ LAA,24.0%,6.5,7.93,67.8%,STRONG OVER
Ryan Johnson,SEA @ LAA,24.5%,4.5,5.21,59.6%,LEAN OVER
